,Medium strength of bluetooth level,Phonecharge duration during morning,Gps times of gps provider,Average speed,Average bearing,Phonecharge duration during night,Phonelock duration during afternoon,Phonelock duration during night,Phonelock duration during evening,Average duration of each conversation during night,Low strength of wifi level,Total counts of wifi-bssid address,Medium strength of wifi level,Light duration during evening,Daily average 0 ratio during night,Average duration of each conversation,Phonecharge duration during afternoon,Light duration during night,Light duration during afternoon,Frequency of wifi,High strength of bluetooth level,Phonecharge duration during evening,Daily average 1 ratio during day,Phonelock duration during morning,Average duration of each long-time conversation(>10 mins),Daily average 0 ratio during day,Bluetooth class,Daily average 2 ratio during night,Audio daily average 0 ratio,The frequency of changing building,High strength of wifi level,Average duration of each conversation during day,Total counts of bluetooth mac address,Average accuracy,Daily average conversation duration,Daily average running ratio,Daily average 2 ratio during day,Light duration during morning,Daily frequency of conversation during day,Daily average running ratio during day,Daily frequency of long-time conversation(>10 mins),Daily average 1 ratio during night,Daily average unknown activity ratio,Audio daily average 2 ratio,Daily average long-time conversation duration(>10 mins),Wifi times of gps_network_type,Low strength of bluetooth level,Daily frequency of conversation during night,Network times of gps provider,Daily average conversation duration during night,Audio daily average 1 ratio,Daily average walking ratio,Daily average conversation duration during day,Daily average stationary ratio during day,Daily average running ratio during night,Daily average walking ratio during day,Daily average stationary ratio,Daily frequency of conversation,Daily average unknown activity ratio during night,Daily average unknown activity ratio during day,Negative
u24,20.059,0.0281,26.0,0.03,1.3,0.006,0.0975,0.0562,0.0241,656.488718626066,18.787,29.404,15.635,0.0103,0.5046499370111533,604.5837425078731,0.0388,0.0339,0.0429,6052.75,72.685,0.0248,0.26595576570609564,0.0637,1675.7449459631275,0.5308010993910961,244.276,0.2145997743258989,0.5182456993802333,66,65.578,560.4006640375935,21.864,45.33,532954.1044776121,0.011891072034008745,0.20324313490280813,0.0567,500.8955223880597,0.010334507189102593,234.77611940298507,0.2807502886629478,0.02724691620481945,0.2083617147412124,393424.8955223881,2121.0,7.256,380.6268656716418,2125.0,251227.89552238805,0.2733925858785541,0.04229474472785715,281726.2089552239,0.9199665374532324,0.014173212254301275,0.04225936222383778,0.9185672670333148,881.5223880597015,0.026964397631278333,0.02743959313382724,0.0
u27,22.079,0.0546,32.0,0.01,0.62,0.0412,0.1259,0.0697,0.0283,673.49749229308,9.76,30.285,24.155,0.0096,0.5037234240489553,622.6083366043662,0.0678,0.0839,0.122,4968.25,62.74100000000001,0.0008,0.2593602674117169,0.0563,1697.1215731700588,0.5388220053417861,353.545,0.21632600614099184,0.5222941506510491,56,66.085,578.8732406434376,14.639,28.32,615527.328358209,0.012812295820608914,0.20181772724649708,0.1238,562.5970149253732,0.011080318330631058,270.5820895522388,0.2799505698100529,0.026681950274135887,0.208315237849106,459210.7014925373,4410.0,15.18,426.02985074626883,4410.0,288698.37313432834,0.2693906114998447,0.03974266511237251,326828.9552238806,0.9229881475951074,0.015354104970939631,0.03895877078472376,0.9207630887928824,988.6268656716417,0.02628917159358771,0.026972763289537603,1.0
u30,23.029,0.0186,52.0,0.06,1.66,0.0083,0.2236,0.1561,0.0528,667.4253488034416,10.813,32.454,20.145,0.0176,0.4969511036710981,615.365446549723,0.1834,0.1274,0.1777,44151.05,67.155,0.005,0.26996181972146194,0.1146,1683.2976254884281,0.5227938595737764,1234.772,0.21953093974890486,0.5104170203330971,74,69.042,570.5879329917346,48.24,45.7,561810.2835820896,0.01183871066675925,0.20724432070476176,0.0862,518.1641791044776,0.010302656069595876,248.28358208955228,0.283517956579997,0.027794357914832903,0.21274953789103834,417935.16417910455,3795.0,9.816,394.8059701492537,3795.0,265038.74626865675,0.2768334417758648,0.04235213277969064,296771.53731343284,0.9197992242301284,0.014091028432175346,0.04200340077475096,0.9180147986387172,912.9701492537314,0.027639496547253287,0.027894718925524743,1.0
u31,22.479,0.0495,254.0,0.31,5.87,0.0445,0.1089,0.0602,0.0606,645.5905381521168,26.107,43.822,17.14,0.0727,0.505361846630786,593.5345483418272,0.0561,0.0701,0.1268,14463.174,61.499,0.0367,0.2694701742076201,0.0506,1656.9640495286335,0.5325301956536121,330.6,0.21132650501136704,0.5196872344838838,56,56.753,553.4049989135897,34.54,79.11,479753.0895522388,0.010519817696705736,0.19799963013876776,0.0745,457.41791044776113,0.009145528986770237,212.1492537313433,0.2833116483578471,0.02716553232763781,0.20390773970096607,351523.6865671642,3896.0,16.023,350.8805970149254,3949.0,226538.38805970148,0.2764050258151501,0.04094991378500969,253214.7014925373,0.9235598623870988,0.01251293930743512,0.040169941292544836,0.9213647361906466,808.2985074626863,0.02716088147948711,0.027124667333586483,1.0
u32,19.841,0.0172,98.0,0.03,1.74,0.0419,0.1935,0.1625,0.0262,671.2070185293306,8.776,51.431,15.061,0.0073,0.5032538037984771,622.2139915087764,0.1778,0.1039,0.1577,28294.55,62.13399999999999,0.0007,0.2630082937216857,0.121,1689.6529577789304,0.5337895154110975,1038.976,0.21610545728505204,0.5193749913074526,79,76.163,580.0764511536104,51.75899999999999,36.4,586218.4477611941,0.0122917700376614,0.20320219086721653,0.1133,531.820895522388,0.010668331980261469,259.1194029850746,0.2806407389164711,0.02679691796100824,0.2089713074887333,437821.8656716418,3722.0,18.024,410.32835820895525,3722.0,276614.9850746269,0.27165370120381394,0.04146034579434134,309603.46268656716,0.9208253236824656,0.014672980725656209,0.04133257084017121,0.9194509662069889,942.1492537313433,0.026346439831351275,0.0271737734971018,0.0
u33,29.177,0.0202,55.0,0.01,1.08,0.0213,0.1746,0.0497,0.0445,674.9517021112896,14.987,39.947,19.648,0.0332,0.4967889279052416,628.2555368131698,0.1419,0.0767,0.1641,9193.429,55.868,0.0286,0.2600269300914764,0.063,1700.4663735272566,0.5365577423787814,164.412,0.2213162997355299,0.5180798798639789,77,65.365,587.4280186816245,14.482,34.84,600368.4925373135,0.012463419632501369,0.2034153275297422,0.1191,538.8955223880597,0.010763812818458516,264.76119402985074,0.2818947723592285,0.02615868807782477,0.21136371124507067,450217.50746268657,2754.0,14.955,416.71641791044783,2754.0,282671.65671641787,0.2705564088909506,0.03980913035440534,317696.8358208955,0.92337623555608,0.014947075867634631,0.03918874390103592,0.9215687619352684,955.6119402985074,0.025454107235685586,0.02667120772442546,1.0
u34,27.015,0.0118,223.0,0.23,12.2,0.0303,0.017,0.0382,0.0,659.9673348272871,19.714,48.203,11.632,0.0019,0.5085448361303478,612.8087916526422,0.0131,0.0425,0.0246,13402.75,52.54,0.0,0.2756281378673849,0.0349,1675.6396544019067,0.5302013244862545,169.0,0.206185564879493,0.5199723537750834,72,68.655,570.9619157773324,15.268,34.45,679348.8507462686,0.009916313488456984,0.19417053764636075,0.0298,633.4925373134329,0.008617929406025177,300.5820895522388,0.2852695989901592,0.02716372259409748,0.1994461827356429,503667.2686567164,1876.0,20.445,475.089552238806,1876.0,315431.4029850746,0.2805814634892736,0.03972883496812474,363917.44776119397,0.9259034620960832,0.01180929494349594,0.03864006330908636,0.9231911289493208,1108.5820895522388,0.027548164352986258,0.02683854518880564,0.0
u35,14.758,0.0169,185.0,0.05,3.43,0.0506,0.046,0.0963,0.0055,655.3448323204648,24.666,46.611,11.248,0.0072,0.5071209931734558,609.1990775725043,0.0384,0.0611,0.0112,12160.7,72.592,0.0,0.2754396430837141,0.0781,1669.7585823958286,0.5306765293725693,362.424,0.207305244783564,0.5196392417327311,63,64.086,567.625782263515,35.701,35.59,697887.5522388059,0.010246431649362557,0.19388382754371672,0.0227,654.3880597014926,0.0088327094015013,309.1194029850746,0.2855737620429802,0.02660967090288556,0.1997641650404551,516154.77611940296,4155.0,12.651,491.1940298507463,4155.0,323866.9850746269,0.2805965932268137,0.040423948981433866,374020.56716417905,0.9255417310864856,0.0122878256983451,0.03921660508867685,0.922719948466318,1145.5820895522388,0.026873401393302715,0.026408954423336288,0.0
u36,20.87,0.0275,314.0,0.06,4.06,0.0569,0.2828,0.1396,0.0191,663.6839861654049,21.283,63.32,19.194000000000006,0.0122,0.5172762566982272,614.1535837160089,0.1036,0.066,0.2693,45790.05,62.609,0.013,0.27550896071627395,0.1156,1686.3368679064315,0.5322002636873561,2378.222,0.2027535828408835,0.5249364365135334,86,59.523,571.9373158613273,242.767,209.74,636767.2686567164,0.010651338611044812,0.19229077559636998,0.1153,587.7014925373136,0.009351696653593256,280.1044776119403,0.2799701604608893,0.02667021647615606,0.19683186424221952,472350.50746268657,4710.0,16.521,449.1194029850746,5108.0,299427.25373134325,0.27823169924424745,0.039580907537865855,337340.01492537314,0.9255908986428883,0.01255963876495625,0.03871980589213727,0.9230975373749334,1036.820895522388,0.02710460349137707,0.026337598811381292,0.0
u39,16.430999999999994,0.0,149.0,0.04,3.1,0.0039,0.0,0.0097,0.006,628.7673976947062,13.742,60.437,5.121,0.0058,0.5318290355534451,510.2164948453608,0.0,0.0069,0.0059,3650.4,58.95,0.0,0.22488956552129885,0.0082,1425.1104199066876,0.5548307582239419,147.583,0.2191472055888154,0.5428148518341518,40,81.13600000000002,495.9926696794239,37.681,53.62,41365.611940298506,0.010145356123173566,0.22027967625475928,0.0055,41.48484848484848,0.0087580920663986,19.19402985074627,0.2490237588577395,0.02588667954149741,0.22041029404528686,27353.611940298506,1200.0,24.619,40.208955223880594,1200.0,23296.53731343284,0.2367748541205613,0.03755308944032703,18342.848484848484,0.9300117461483359,0.012176161063318971,0.03575060014153173,0.9264148748950016,81.07462686567165,0.026453861583855643,0.025479561643733658,0.0
u42,29.474,0.0295,176.0,0.15,6.23,0.0448,0.0686,0.0582,0.0223,657.7339475794282,33.695,103.091,17.371,0.0222,0.5404848964542741,602.4385276122526,0.0091,0.0733,0.0918,31540.6,43.332,0.0,0.26968703843418634,0.0556,1668.3745796906524,0.5454677520279819,165.97299999999996,0.19175156366025373,0.5422933998401093,69,48.934,559.8379747196353,16.332,34.2,451172.50746268657,0.01330822074936627,0.18484520953783165,0.0536,422.02985074626883,0.011713162186170255,199.7462686567164,0.2677635398854723,0.028212374145678176,0.1878129332831424,333251.5970149254,2782.0,27.194000000000006,326.8805970149254,2782.0,215096.20895522388,0.2698936668767484,0.03829106934950945,236076.2985074627,0.9197219905199281,0.015728912553328506,0.038954810630057284,0.9201883357554458,748.9104477611943,0.026175934523971347,0.029610036663844368,1.0
u43,26.826,0.0396,143.0,0.18,4.18,0.0225,0.16399999999999998,0.1107,0.0211,656.5869313978791,17.639,20.589,19.863,0.0132,0.5404732587579206,602.4623699775648,0.0832,0.1032,0.1391,9712.095,61.525,0.0,0.2708091520701074,0.0501,1673.0735203925174,0.5407523076596006,160.04399999999995,0.1949883502322408,0.5395858252771445,69,62.497,560.9000712097364,11.692,40.75,440876.56716417905,0.012816354466044328,0.1884385402702919,0.0397,412.04477611940285,0.011134842381778441,194.68656716417908,0.2645383910098386,0.02849133358559275,0.1912586828899571,325724.94029850746,4159.0,11.65,319.74626865671644,4152.0,209884.19402985074,0.2691554918328983,0.039062260590382,230992.3731343284,0.9209405352978866,0.015331747738621806,0.03842803272676233,0.9196300513579808,731.7910447761194,0.027011097292398683,0.029496589593572726,0.0
u44,18.654,0.0354,322.0,0.07,4.62,0.0231,0.1523,0.1465,0.0524,661.5808906897737,12.86,65.508,9.759,0.0104,0.5258027726474457,597.2562723172338,0.0206,0.0491,0.0741,11217.524,60.166,0.0127,0.2686467057442836,0.0857,1677.6164800716526,0.5444385820454138,346.281,0.1982360731238518,0.5356454115550922,54,77.381,548.9556405690789,34.413000000000004,44.19,379462.76119402976,0.001972442723176997,0.18691471221030267,0.0419,357.1940298507463,0.0015197734991376807,166.64179104477608,0.27596115422870265,0.008522468611241521,0.1918169628284357,279561.01492537314,3824.0,21.18,278.14925373134326,3824.0,183553.31343283586,0.27253762561647205,0.014930014560176591,195909.447761194,0.98374762528489,0.002366130937415184,0.007750515077917245,0.9745750741054048,635.3432835820895,0.010731545412276841,0.006982086138054946,0.0
u45,23.344,0.0494,435.0,0.39,14.65,0.0549,0.1023,0.07,0.0728,676.4668267038992,17.404,60.877,13.8,0.0113,0.5256939027348935,614.1594350459483,0.0098,0.0373,0.0813,24780.05,58.38399999999999,0.0,0.2695209207331733,0.0767,1699.8695652173913,0.5440353809679453,183.424,0.19801138565117146,0.5353911417482903,72,68.796,566.9046763193184,18.682,40.17,351115.8656716418,0.007333818339567326,0.18644369829888136,0.0434,322.3880597014925,0.004968853046777903,154.13432835820896,0.27629471161393515,0.0255506833981267,0.19143587108840865,262008.25373134328,1868.0,18.272,249.3134328358209,1868.0,168422.20895522388,0.2731729871633009,0.028483487015849688,182693.6567164179,0.9457166006888869,0.010916722827849338,0.0249999419071472,0.9386320112464562,571.7014925373136,0.027308459940961767,0.02431460435718833,1.0
u46,34.051,0.0231,82.0,0.02,1.86,0.0125,0.1505,0.0347,0.0482,679.2735596115504,18.466,41.434,25.351,0.037000000000000005,0.5391235623247705,621.8039410015741,0.1444,0.0243,0.1761,17613.476000000002,52.882,0.0184,0.2697160676906432,0.0316,1708.929981855054,0.5439525009378852,718.1139999999998,0.19274559186220386,0.5408716336893493,85,56.183,576.5265599890872,31.315,57.18,318382.17910447763,0.008941973513338019,0.1863314313714717,0.0475,284.6268656716418,0.007345598876831531,139.83582089552237,0.2681308458130256,0.024974375970737928,0.1890871718294176,238969.62686567163,3685.0,13.068,227.40298507462688,3726.0,154293.25373134328,0.2700411944812332,0.035665757944009745,164088.92537313432,0.9284096382818832,0.011355295444943672,0.03817360841504357,0.9304178925719148,512.0298507462686,0.02340412494611455,0.02607115442624142,1.0
u47,27.317,0.0607,70.0,0.04,3.1,0.0259,0.0683,0.047,0.0089,674.6929029180402,9.113,29.553,17.362000000000002,0.0046,0.5302082220432173,616.1325266984776,0.0309,0.0271,0.0466,7145.632,59.143,0.0,0.26687858670730363,0.0447,1703.6790292078174,0.5474662138249939,331.821,0.19734836333454767,0.5392954427651212,68,73.525,571.3469945599599,31.928,151.79,323773.0447761194,0.005647850584939708,0.1856551994677024,0.0251,293.2537313432836,0.004015258976433016,142.0597014925373,0.2724434146222351,0.023656475647524502,0.1906962398648995,242024.1343283582,3203.0,13.54,232.23880597014926,3348.0,156459.55223880598,0.2700083173699795,0.027464651602588847,167313.49253731346,0.9467862551835062,0.008169661351293645,0.024915114783904214,0.9432310221649473,525.4925373134329,0.022831356615628517,0.024283371056156536,1.0
u49,18.194000000000006,0.0974,509.0,0.07,6.1,0.0431,0.1076,0.1161,0.0799,689.5964931999748,17.891,62.857,22.491,0.0323,0.5185570152404612,617.7851111603047,0.0647,0.0365,0.0209,22965.107000000004,46.995,0.0448,0.21511932572559075,0.0923,1701.021519134582,0.5105963886074878,3839.792,0.25722000750868546,0.5119395311196673,83,59.618,560.0435509754664,156.593,55.65,291566.9104477612,0.01075090760420582,0.27428428566692153,0.0284,259.31343283582095,0.008820178541998378,128.3134328358209,0.22422297725085366,0.027074520509570814,0.2679575849693574,218263.9104477612,3359.0,34.811,212.64179104477608,3402.0,146389.74626865672,0.2201028839109755,0.042622829089873984,145177.16417910447,0.9263318447597662,0.013486447358364592,0.039192761635683186,0.9195517427963495,471.95522388059686,0.029122130050765107,0.025655215062552496,0.0
u50,17.472,0.035,184.0,0.03,3.18,0.0248,0.0488,0.0694,0.0072,667.8537892141446,22.184,140.565,28.38,0.0077,0.5233819520090736,602.0296353875676,0.0034,0.0273,0.0904,18210.25,66.046,0.0,0.270432757837248,0.078,1686.1991533222895,0.5400696045348929,902.4,0.2007023112952737,0.532083868363613,51,49.43600000000001,552.6412493214992,118.218,36.85,369906.77611940296,0.001437029324268358,0.18949763762785912,0.0198,348.4029850746268,0.001273381138307688,162.1791044776119,0.27591573669565284,0.012384148037935631,0.19435240729507927,273466.2686567164,2739.0,16.482,266.02985074626855,2743.0,177368.37313432837,0.2735637243413076,0.014692019291874641,192538.40298507464,0.9808233554148492,0.001684285504928759,0.009554711627608244,0.9714868033459212,614.4328358208954,0.01886787819569476,0.008348551819234877,0.0
u51,24.012,0.004,148.0,0.06,2.68,0.021,0.2616,0.2268,0.0288,670.1115157025804,23.597,59.168,22.94,0.0103,0.5282090807344005,606.3989562624254,0.2014,0.1243,0.1292,18445.087,52.414,0.0012,0.2680029576448595,0.1535,1690.9815039701075,0.5464560887672065,758.449,0.19744092734209626,0.5378633880293838,79,53.462,558.5636167709183,89.76799999999999,178.83,364201.4029850746,0.008416965749442356,0.18554095358793413,0.128,339.23880597014926,0.005435446254273688,159.7761194029851,0.2743499919235031,0.016894264668501482,0.19066663449628,270178.46268656716,5882.0,23.574,261.35820895522386,6218.0,174804.8208955224,0.2714699774743364,0.029776587586254705,189396.58208955228,0.9556845988421327,0.012897949613321554,0.025722726922307586,0.9449121819958016,600.5970149253732,0.022586527124604846,0.0131572279812855,0.0
u52,12.254,0.0299,542.0,0.02,7.89,0.0316,0.1951,0.1095,0.0607,682.6613330100413,12.37,889.2710000000002,16.025,0.0137,0.5383303652836485,614.0166054507855,0.0905,0.0624,0.1538,151418.545,80.893,0.0045,0.2671120244099691,0.1443,1698.6305565078278,0.5505441899119313,491.721,0.19302366248858369,0.5443778251561283,51,71.605,558.4586922488371,26.596,69.56,296918.2686567164,0.01465227629746205,0.18234378567809947,0.1482,267.25373134328356,0.013164471306575123,130.61194029850745,0.2686459722277679,0.0273402119902532,0.18690018258855426,221861.4328358209,4391.0,6.853,216.3134328358209,4481.0,147444.41791044775,0.2687219922553176,0.03999428654600736,149473.85074626867,0.9165852284096844,0.016963165346822344,0.04208401844741418,0.9180132251662776,483.56716417910457,0.026162833104304364,0.02816628183632648,1.0
u53,19.272,0.0246,272.0,0.09,3.23,0.0274,0.1754,0.1662,0.0428,674.7560525233002,15.285,149.719,21.951,0.0126,0.5326698065551801,613.5359967606964,0.0673,0.1121,0.0859,35303.8,74.795,0.004,0.2676385324994349,0.118,1705.1948692152914,0.5483748722808004,302.949,0.19490826777356146,0.5408159915707493,75,62.764,566.4838972411561,37.627,27.48,339230.46268656716,0.00598013706267704,0.1839865952197646,0.0786,310.8059701492537,0.0041770364076246964,148.35820895522392,0.27242192567125834,0.02367178563167912,0.18870300604171444,252979.6567164179,3653.0,5.933,242.1044776119403,3653.0,163094.8805970149,0.2704810023875365,0.02665201892513304,176135.58208955228,0.9479224612564984,0.008701039951889667,0.023974209051612464,0.943696058380511,552.9104477611942,0.023403309944224952,0.023926293284264603,0.0
u56,25.317,0.0044,100.0,0.09,1.73,0.019,0.0997,0.1188,0.0231,650.3652063604159,16.445999999999998,42.058,15.547,0.0201,0.5425089136040231,599.9809693610589,0.0735,0.0993,0.0471,13101.2,71.911,0.0154,0.26877067160983803,0.0724,1665.8413057766745,0.5453346602887333,132.94299999999998,0.19171373378736772,0.5430753689305754,70,68.007,561.2095225122284,15.667,165.34,462083.8507462686,0.013852994303360379,0.1858946681014285,0.0722,433.1641791044776,0.012176830442682756,204.37313432835828,0.26577735260860913,0.02804850204517734,0.18840685819405129,340453.2089552239,3313.0,2.772,337.0,3511.0,219070.94029850746,0.2685177728753734,0.03975450635606319,243012.9104477612,0.9172330995673392,0.01640252326026861,0.040972599758935725,0.9183439972953992,770.1641791044777,0.02586802338075716,0.029617470231042036,0.0
u57,10.691,0.0459,989.0,0.13,11.0,0.0268,0.2473,0.0879,0.0517,658.3369127072043,12.678,139.805,18.518,0.0148,0.5410039053376159,602.4492272563903,0.2077,0.0869,0.2501,28505.286,86.272,0.0105,0.2709736113376236,0.0513,1680.2315302377535,0.5398414133549327,1370.696,0.19412976759720613,0.5392606664163683,80,68.805,560.104636159012,81.992,71.35,425302.1791044776,0.014439776545598504,0.1891849753074437,0.0922,398.53731343283584,0.012417826571435414,187.07462686567158,0.2648663270651779,0.02922559050502943,0.19134104598335874,314328.6865671642,4749.0,3.037,307.4179104477612,4867.0,202127.59701492536,0.2693982876002728,0.04127201653524349,223174.58208955228,0.9167287048729342,0.017414463685717602,0.041185973875478885,0.9150626164141284,705.9552238805969,0.02858914707643047,0.02966749468015136,0.0
u58,23.834,0.0156,275.0,0.11,3.3,0.0194,0.2216,0.1552,0.0325,724.7272955356121,22.035,58.736,22.077,0.0269,0.5049915310264073,659.1099559403262,0.1618,0.1316,0.1114,19030.5,68.983,0.0136,0.22149407653657288,0.1438,1704.1845347313238,0.4698224308753505,95.289,0.2863610701713312,0.4822238293451746,68,55.887,605.5320161540885,12.393,55.26,254534.49253731343,0.010872165571424695,0.30868349258807665,0.0928,207.9850746268657,0.008928988568050585,113.88059701492537,0.2086473988022615,0.027472001686570272,0.3002349922856966,194073.552238806,5710.0,7.183,178.19402985074623,5748.0,128754.0895522388,0.21754117836912906,0.04266220832444628,125780.40298507464,0.9258065503497498,0.013624567853682405,0.03921370902557776,0.9189936244175586,386.17910447761193,0.02952967820312889,0.026050752056622058,0.0
u59,0.6579999999999999,0.0831,127.0,0.04,3.02,0.0299,0.1485,0.0565,0.0252,694.5068983952748,13.905,84.677,17.125,0.0273,0.4651484372164825,622.8987616409094,0.1711,0.0681,0.1677,27778.15,97.938,0.0208,0.17006235213238574,0.0321,1701.914733390016,0.4473922658944859,205.867,0.3521733227698248,0.455781330994094,75,68.97,563.8190023042196,13.994000000000002,158.19,278528.71641791053,0.010982606794175741,0.3825453819731284,0.0408,246.7014925373134,0.009011020393366627,122.88059701492537,0.18267824001369268,0.02764104466173466,0.3669138852799485,209132.2985074627,5436.0,1.403,200.44776119402985,5713.0,139202.83582089553,0.17730478372595734,0.0429043464171246,139325.8805970149,0.9253864355912759,0.013777676018964706,0.03938550829083466,0.9184720021269648,447.14925373134315,0.029703361052309318,0.026217035724522636,1.0
